url,price,rooms,area,location
https://www.otodom.pl/pl/oferta/apartament-68m2-4-pokoje-bez-prowizji-0-pcc-ID4ndhZ,633702.0,4.0,68.04,Wełnowiec-Józefowiec
https://www.otodom.pl/pl/oferta/apartament-69m2-bezposrednio-wysokie-rabaty-ID4ndhl,666293.0,3.0,68.69,Koszutka
https://www.otodom.pl/pl/oferta/2pok-miejskie-co-i-cwu-ocieplony-2-balkony-zielen-ID4n66P,375000.0,2.0,48.7,Piotrowice-Ochojec
https://www.otodom.pl/pl/oferta/przestronne-i-ustawne-ID4naQM,590000.0,4.0,87.85,Osiedle Paderewskiego-Muchowiec
https://www.otodom.pl/pl/oferta/apartament-60m2-bezposrednio-wysokie-rabaty-ID4ndgT,526398.0,3.0,59.48,Koszutka
https://www.otodom.pl/pl/oferta/katowice-ul-szewska-2-pokoje-ID4naQL,268000.0,2.0,43.8,Piotrowice-Ochojec
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-balkon-ID4eGn3,372378.0,1.0,35.13, Ligota-Panewniki
https://www.otodom.pl/pl/oferta/sosnowiec-mieszkanie-zagorze-55m2-ID4n8Oz,310000.0,3.0,55.7,Śródmieście
https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-161m2-bezposrednio-ID4mEg0,1904773.0,5.0,161.24, Koszutka
https://www.otodom.pl/pl/oferta/mieszkanie-71-17-m-katowice-ID4n0kw,499000.0,3.0,71.17,Załęska Hałda-Brynów
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-89m2-ogrodek-ID4eGle,,4.0,89.25, Ligota-Panewniki
https://www.otodom.pl/pl/oferta/duze-m2-lub-m3-w-centrum-z-balkonem-co-miejskie-ID4n5cY,337500.0,2.0,45.0, Śródmieście
https://www.otodom.pl/pl/oferta/nietuzinkowe-wnetrze-3-pokojowe-mieszkanie-na-xixp-ID4n80N,599000.0,3.0,61.5, Dąbrówka Mała
https://www.otodom.pl/pl/oferta/2-pokoje-w-super-lokalizacji-ID4mLjm,379000.0,2.0,50.8, Osiedle Tysiąclecia
https://www.otodom.pl/pl/oferta/mieszkanie-47-m-katowice-ID4ndal,319000.0,3.0,47.0,Dąb
https://www.otodom.pl/pl/oferta/3-niezalezne-pokoje-balkon-7-min-pieszo-od-spodka-ID4n5NI,499000.0,3.0,61.5,Śródmieście
